neighbourhood,province,room_type,minimum_nights,accommodates,bedrooms,price
Saumarez,New Brunswick,Private room,1,1,1,40.0
Shediac,New Brunswick,Entire home/apt,6,6,2,130.0
Shediac,New Brunswick,Entire home/apt,5,8,4,220.0
Wicklow,New Brunswick,Private room,1,2,1,80.0
Manners Sutton,New Brunswick,Entire home/apt,1,4,2,119.0
Dalhousie,New Brunswick,Private room,1,2,1,54.0
New Bandon,New Brunswick,Entire home/apt,3,6,2,125.0
Fredericton,New Brunswick,Entire home/apt,1,4,1,80.0
Alnwick,New Brunswick,Entire home/apt,1,5,2,127.0
Wakefield,New Brunswick,Entire home/apt,1,3,1,95.0
West Isles,New Brunswick,Private room,2,2,1,70.0
Hopewell,New Brunswick,Entire home/apt,1,5,2,119.0
Moncton,New Brunswick,Private room,1,2,1,44.0
Richibucto,New Brunswick,Entire home/apt,7,5,2,200.0
City of Saint John,New Brunswick,Entire home/apt,1,2,1,68.0
Fredericton,New Brunswick,Private room,1,2,1,50.0
Saint George,New Brunswick,Entire home/apt,3,4,1,125.0
New Maryland,New Brunswick,Entire home/apt,2,3,2,76.0
Wicklow,New Brunswick,Private room,1,3,1,80.0
Kingsclear,New Brunswick,Entire home/apt,2,7,3,186.0
Shippagan,New Brunswick,Entire home/apt,5,4,2,125.0
Fredericton,New Brunswick,Entire home/apt,1,2,1,54.0
Nelson,New Brunswick,Entire home/apt,2,6,2,76.0
Moncton,New Brunswick,Private room,2,2,1,54.0
Dorchester,New Brunswick,Private room,1,2,1,49.0
Salisbury,New Brunswick,Entire home/apt,1,4,2,99.0
Gordon,New Brunswick,Private room,1,4,2,90.0
Hopewell,New Brunswick,Entire home/apt,3,8,3,294.0
Sackville,New Brunswick,Entire home/apt,1,3,1,62.0
Fredericton,New Brunswick,Entire home/apt,2,6,2,48.0
City of Saint John,New Brunswick,Private room,1,2,1,105.0
Moncton,New Brunswick,Entire home/apt,3,5,3,149.0
Fredericton,New Brunswick,Entire home/apt,1,4,1,85.0
Botsford,New Brunswick,Entire home/apt,7,5,2,141.0
Moncton,New Brunswick,Entire home/apt,1,4,2,90.0
Shediac,New Brunswick,Entire home/apt,7,8,3,175.0
Shediac,New Brunswick,Entire home/apt,3,6,2,119.0
Campobello,New Brunswick,Private room,1,2,1,179.0
Fredericton,New Brunswick,Private room,1,3,2,48.0
City of Saint John,New Brunswick,Private room,1,2,1,145.0
Shippagan,New Brunswick,Entire home/apt,5,4,2,125.0
Dundas,New Brunswick,Entire home/apt,7,6,2,98.0
Dundas,New Brunswick,Entire home/apt,2,5,2,98.0
Southhampton,New Brunswick,Private room,1,3,1,119.0
Southhampton,New Brunswick,Private room,1,2,1,129.0
Moncton,New Brunswick,Entire home/apt,2,6,3,84.0
Shediac,New Brunswick,Entire home/apt,7,7,2,52.0
Shediac,New Brunswick,Entire home/apt,7,8,3,110.0
Shippagan,New Brunswick,Entire home/apt,2,6,2,125.0
Saint-Francois,New Brunswick,Entire home/apt,2,6,2,125.0
Dundas,New Brunswick,Entire home/apt,3,6,2,98.0
